ID,SYEAR,EYEAR,LON,LAT,Flag,DIR
AT-Neu,2004,2005,11.3175,47.11667,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/AT-Neu_2004-2005.nc
AU-How,2004,2005,131.1523,-12.4943,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/AU-How_2004-2005.nc
AU-Tum,2004,2005,148.1517,-35.6566,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/AU-Tum_2004-2005.nc
BE-Bra,2005,2005,4.51984,51.30761,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/BE-Bra_2005-2005.nc
BE-Lon,2004,2005,4.74623,50.55162,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/BE-Lon_2004-2005.nc
BE-Vie,2004,2005,5.99812,50.30493,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/BE-Vie_2004-2005.nc
CA-Ca1,2004,2005,-125.3336,49.8673,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CA-Ca1_2004-2005.nc
CA-Ca2,2004,2005,-125.2909,49.8705,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CA-Ca2_2004-2005.nc
CA-Cbo,2005,2005,-79.9333,44.3167,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CA-Cbo_2005-2005.nc
CA-Cha,2004,2005,-67.3569,45.8847,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CA-Cha_2004-2005.nc
CA-Gro,2004,2005,-82.1556,48.2167,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CA-Gro_2004-2005.nc
CA-Let,2004,2005,-112.9402,49.7093,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CA-Let_2004-2005.nc
CA-Man,2004,2005,-98.48081,55.87962,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CA-Man_2004-2005.nc
CA-NS1,2004,2005,-98.48389,55.87917,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CA-NS1_2004-2005.nc
CA-NS2,2004,2004,-98.52472,55.90583,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CA-NS2_2004-2004.nc
CA-NS3,2004,2005,-98.38222,55.91167,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CA-NS3_2004-2005.nc
CA-NS4,2004,2005,-98.380645,55.91437,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CA-NS4_2004-2005.nc
CA-NS5,2004,2005,-98.485,55.86306,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CA-NS5_2004-2005.nc
CA-NS6,2004,2005,-98.96444,55.91667,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CA-NS6_2004-2005.nc
CA-NS7,2004,2005,-99.94833,56.63583,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CA-NS7_2004-2005.nc
CA-NS8,2004,2005,-98.2161,55.8981,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CA-NS8_2004-2005.nc
CA-Na1,2004,2005,-67.1,46.4722,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CA-Na1_2004-2005.nc
CA-Oas,2004,2005,-106.19779,53.62889,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CA-Oas_2004-2005.nc
CA-Obs,2004,2005,-105.11779,53.98717,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CA-Obs_2004-2005.nc
CA-Ojp,2004,2005,-104.692,53.9163,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CA-Ojp_2004-2005.nc
CA-Qcu,2004,2005,-74.0365,49.2671,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CA-Qcu_2004-2005.nc
CA-SF1,2004,2005,-105.81757,54.48503,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CA-SF1_2004-2005.nc
CA-SF2,2004,2005,-105.8775,54.25392,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CA-SF2_2004-2005.nc
CA-SJ2,2004,2005,-104.649,53.945,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CA-SJ2_2004-2005.nc
CA-SJ3,2004,2005,-104.6453,53.8758,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CA-SJ3_2004-2005.nc
CA-TP2,2004,2004,-80.458775,42.77441944,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CA-TP2_2004-2004.nc
CA-WP1,2004,2005,-112.467,54.9538,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CA-WP1_2004-2005.nc
CA-WP2,2004,2005,-112.3343,55.5375,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CA-WP2_2004-2005.nc
CA-WP3,2004,2005,-113.32,54.47,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CA-WP3_2004-2005.nc
CH-Cha,2005,2005,8.41044,47.21022,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CH-Cha_2005-2005.nc
CH-Dav,2004,2005,9.85591,46.81533,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CH-Dav_2004-2005.nc
CH-Fru,2005,2005,8.53778,47.11583,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CH-Fru_2005-2005.nc
CH-Lae,2004,2005,8.36439,47.47833,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CH-Lae_2004-2005.nc
CH-Oe1,2004,2005,7.73194,47.28583,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CH-Oe1_2004-2005.nc
CH-Oe2,2004,2005,7.73375,47.28642,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CH-Oe2_2004-2005.nc
CN-Cha,2004,2005,128.0958,42.4025,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CN-Cha_2004-2005.nc
CN-Dan,2004,2005,91.0664,30.4978,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CN-Dan_2004-2005.nc
CN-Din,2004,2005,112.5361,23.1733,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CN-Din_2004-2005.nc
CN-Ha2,2004,2005,101.3269,37.6086,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CN-Ha2_2004-2005.nc
CN-HaM,2004,2004,101.18,37.37,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CN-HaM_2004-2004.nc
CN-Qia,2004,2005,115.0581,26.7414,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CN-Qia_2004-2005.nc
CZ-BK1,2004,2005,18.53688,49.50208,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/CZ-BK1_2004-2005.nc
DE-Geb,2004,2005,10.91463,51.09973,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/DE-Geb_2004-2005.nc
DE-Gri,2004,2005,13.51256,50.949755,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/DE-Gri_2004-2005.nc
DE-Hai,2004,2005,10.45217,51.07921,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/DE-Hai_2004-2005.nc
DE-Kli,2004,2005,13.52238,50.89306,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/DE-Kli_2004-2005.nc
DE-Lnf,2004,2005,10.3678,51.32822,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/DE-Lnf_2004-2005.nc
DE-Tha,2004,2005,13.56515,50.96256,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/DE-Tha_2004-2005.nc
DK-Eng,2005,2005,12.19175,55.69053,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/DK-Eng_2005-2005.nc
DK-Sor,2004,2005,11.64464,55.48587,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/DK-Sor_2004-2005.nc
ES-LJu,2004,2005,-2.75212,36.92659,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/ES-LJu_2004-2005.nc
FI-Hyy,2004,2005,24.29477,61.84741,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/FI-Hyy_2004-2005.nc
FI-Sod,2004,2005,26.63859,67.36239,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/FI-Sod_2004-2005.nc
FR-Fon,2005,2005,2.7801,48.47636,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/FR-Fon_2005-2005.nc
FR-Gri,2004,2005,1.95191,48.84422,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/FR-Gri_2004-2005.nc
FR-LBr,2004,2005,-0.7693,44.71711,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/FR-LBr_2004-2005.nc
FR-Pue,2004,2005,3.5957,43.7413,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/FR-Pue_2004-2005.nc
IT-Col,2005,2005,13.58814,41.84936,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/IT-Col_2005-2005.nc
IT-Lav,2004,2005,11.28132,45.9562,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/IT-Lav_2004-2005.nc
IT-PT1,2004,2004,9.06104,45.20087,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/IT-PT1_2004-2004.nc
