ID,SYEAR,EYEAR,LON,LAT,Flag,DIR
AT-Neu,2004,2005,11.3175,47.11667,TRUE,./data/reference/debug/PLUMBER2/AT-Neu_2004-2005_FLUXNET2015_Flux.nc
AU-How,2004,2005,131.15,-12.4952,TRUE,./data/reference/debug/PLUMBER2/AU-How_2004-2005_OzFlux_Flux.nc
AU-Tum,2004,2005,148.1517,-35.6566,TRUE,./data/reference/debug/PLUMBER2/AU-Tum_2004-2005_OzFlux_Flux.nc
BE-Bra,2004,2005,4.52056,51.309166,TRUE,./data/reference/debug/PLUMBER2/BE-Bra_2004-2005_FLUXNET2015_Flux.nc
BE-Lon,2005,2005,4.74613,50.55159,TRUE,./data/reference/debug/PLUMBER2/BE-Lon_2005-2005_FLUXNET2015_Flux.nc
BE-Vie,2004,2005,5.99805,50.30507,TRUE,./data/reference/debug/PLUMBER2/BE-Vie_2004-2005_FLUXNET2015_Flux.nc
CA-Qcu,2004,2005,-74.03653,49.26708,TRUE,./data/reference/debug/PLUMBER2/CA-Qcu_2004-2005_LaThuile_Flux.nc
CA-Qfo,2004,2005,-74.3421,49.6925,TRUE,./data/reference/debug/PLUMBER2/CA-Qfo_2004-2005_FLUXNET2015_Flux.nc
CA-SF1,2004,2005,-105.8176,54.485,TRUE,./data/reference/debug/PLUMBER2/CA-SF1_2004-2005_FLUXNET2015_Flux.nc
CA-SF2,2004,2005,-105.8775,54.2539,TRUE,./data/reference/debug/PLUMBER2/CA-SF2_2004-2005_FLUXNET2015_Flux.nc
CA-SF3,2004,2005,-106.0053,54.0916,TRUE,./data/reference/debug/PLUMBER2/CA-SF3_2004-2005_FLUXNET2015_Flux.nc
CH-Dav,2004,2005,9.85592,46.815334,TRUE,./data/reference/debug/PLUMBER2/CH-Dav_2004-2005_FLUXNET2015_Flux.nc
DE-Geb,2004,2005,10.9143,51.1001,TRUE,./data/reference/debug/PLUMBER2/DE-Geb_2004-2005_FLUXNET2015_Flux.nc
DE-Gri,2004,2005,13.51253,50.94947,TRUE,./data/reference/debug/PLUMBER2/DE-Gri_2004-2005_FLUXNET2015_Flux.nc
DE-Hai,2004,2005,10.453,51.079166,TRUE,./data/reference/debug/PLUMBER2/DE-Hai_2004-2005_FLUXNET2015_Flux.nc
DE-Kli,2005,2005,13.52238,50.89306,TRUE,./data/reference/debug/PLUMBER2/DE-Kli_2005-2005_FLUXNET2015_Flux.nc
DE-Meh,2004,2005,10.65547,51.27531,TRUE,./data/reference/debug/PLUMBER2/DE-Meh_2004-2005_LaThuile_Flux.nc
DE-Tha,2004,2005,13.56694,50.96361,TRUE,./data/reference/debug/PLUMBER2/DE-Tha_2004-2005_FLUXNET2015_Flux.nc
DE-Wet,2004,2005,11.45753,50.4535,TRUE,./data/reference/debug/PLUMBER2/DE-Wet_2004-2005_LaThuile_Flux.nc
