ID	station	lon	lat	elevation	EGM08	EGM96	satellite				
0000000010307	R_GALLEGOS_GALLEGOS_KM0064	-70.16	-51.73	39.5	9.55	9.26	SENTINEL3A				
0000000010309	R_GALLEGOS_GALLEGOS_KM0069	-70.22	-51.75	42.8	9.56	9.27	SENTINEL3B				
0000000010304	R_GALLEGOS_GALLEGOS_KM0117	-70.64	-51.85	67.7	9.85	9.41	SENTINEL3A				
0000000010310	R_GALLEGOS_GALLEGOS_KM0121	-70.69	-51.84	69.3	9.9	9.44	SENTINEL3B				
0000000010308	R_GALLEGOS_GALLEGOS_KM0154	-71.09	-51.87	86.1	10.2	9.75	SENTINEL3B				
0000000010303	R_GALLEGOS_PENITENTE_KM0197	-71.58	-51.84	104.3	10.77	10.38	SENTINEL3A				
0000000010701	R_SANTA-CRUZ_SANTA-CRUZ_KM0143	-70.01	-50.16	70	11.35	11.24	SENTINEL3B				
0000000010693	R_SANTA-CRUZ_SANTA-CRUZ_KM0192	-70.41	-50.23	94.2	11.56	11.51	SENTINEL3A				
0000000010694	R_SANTA-CRUZ_SANTA-CRUZ_KM0198	-70.46	-50.21	100.2	11.67	11.61	SENTINEL3A				
0000000010699	R_SANTA-CRUZ_SANTA-CRUZ_KM0235	-70.92	-50.21	122.1	12.17	12.23	SENTINEL3B				
0000000010692	R_SANTA-CRUZ_SANTA-CRUZ_KM0279	-71.39	-50.22	142.7	12.55	13.21	SENTINEL3A				
0000000010697	R_SANTA-CRUZ_SANTA-CRUZ_KM0333	-71.83	-50.26	171.8	12.56	13.47	SENTINEL3B				
0000000010698	R_SANTA-CRUZ_SANTA-CRUZ_KM0334	-71.84	-50.25	171.8	12.57	13.46	SENTINEL3B				
0000000010311	R_GALLEGOS_GALLEGOS_KM0016	-69.68	-51.69	14.6	9.49	9.21	SENTINEL3B				
0000000010306	R_GALLEGOS_GALLEGOS_KM0029	-69.79	-51.67	20	9.5	9.22	SENTINEL3A				
0000000010314	R_GRANDE_GRANDE_KM0014	-67.92	-53.82	8.3	12.49	12.45	SENTINEL3B				
0000000010702	R_SANTA-CRUZ_SANTA-CRUZ_KM0047	-69.1	-50.11	6.9	10.97	10.32	SENTINEL3B				
0000000010695	R_SANTA-CRUZ_SANTA-CRUZ_KM0076	-69.41	-50.09	27.6	11.02	10.5	SENTINEL3A				
0000000010696	R_SANTA-CRUZ_SANTA-CRUZ_KM0091	-69.59	-50.07	37.3	11.13	10.73	SENTINEL3A				
0000000010700	R_SANTA-CRUZ_SANTA-CRUZ_KM0135	-69.92	-50.17	64.8	11.22	11.11	SENTINEL3B				
0000000010287	R_AYSEN_NIREGUAO_KM0033	-72.45	-45.38	22.3	18.81	21.87	SENTINEL3A				
0000000010288	R_AYSEN_SIMPSON_KM0062	-72.19	-45.5	118.8	19.06	22.11	SENTINEL3A				
0000000003034	R_BAKER_BAKER_KM0001	-73.57	-47.79	0	16.27	17.92	SENTINEL3B				
0000000003030	R_BAKER_BAKER_KM0025	-73.38	-47.77	2.1	16.87	18.5	SENTINEL3A				
0000000003033	R_BAKER_BAKER_KM0082	-73.01	-47.52	52.6	17.67	19.82	SENTINEL3B				
0000000003031	R_BAKER_BAKER_KM0138	-72.66	-47.24	80.2	17.27	19.57	SENTINEL3A				
0000000003032	R_BAKER_BAKER_KM0159	-72.7	-47.13	134.4	17.55	19.65	SENTINEL3A				
0000000003035	R_BAKER_IBANEZ_KM0354	-72.01	-46.23	273.6	18.09	23.85	SENTINEL3B				
0000000010273	R_BUENO_BUENO_KM0061	-73.17	-40.36	1.5	17.67	17.66	SENTINEL3A				
0000000010274	R_BUENO_NEGRO_KM0100	-73.21	-40.64	16.9	18.44	18.18	SENTINEL3A				
0000000010276	R_BUENO_RAHUE_KM0051	-73.3	-40.36	1.5	17.41	17.39	SENTINEL3A				
0000000010275	R_BUENO_RAHUE_KM0079	-73.23	-40.54	7.3	18	17.96	SENTINEL3A				
0000000010296	R_CHICO_CHALIA_KM0193	-70.58	-49.54	147.3	12.86	12.91	SENTINEL3B				
0000000010297	R_CHICO_CHALIA_KM0250	-71.2	-49.59	201.8	13.35	14.02	SENTINEL3B				
0000000010299	R_CHICO_CHICO_KM0486	-71.3	-48.26	613	15.89	16.15	SENTINEL3A				
0000000010298	R_CHICO_CHICO_KM0505	-71.43	-48.27	629	15.97	16.45	SENTINEL3A				
0000000003169	R_CHUBUT_CHUBUT_KM0927	-71.04	-42.34	625.4	21.25	20.78	SENTINEL3A				
0000000010293	R_DESEADO_PINTURAS_KM0533	-70.46	-46.89	359.6	17	16.44	SENTINEL3B				
0000000010280	R_FUTALEUFU_CARRILEUFU_KM0202	-71.74	-43.01	480.7	21.33	20.11	SENTINEL3B				
0000000010279	R_FUTALEUFU_CARRILEUFU_KM0263	-71.62	-42.55	524	21.46	20.55	SENTINEL3A				
0000000010282	R_FUTALEUFU_FUTALEUFU_KM0147	-71.81	-43.2	307	21.23	19.79	SENTINEL3B				
0000000007359	R_NEGRO2_LIMAY_KM1052	-70.42	-40.53	577.9	22.35	22.33	SENTINEL3A				
0000000007355	R_NEGRO2_LIMAY_KM1055	-70.44	-40.52	577.9	22.38	22.31	SENTINEL3A				
