ID,SYEAR,EYEAR,LON,LAT,DIR
ResOpsUS_100,1963,2020,-122.421703,43.708548,/Volumes/work/Reference/Station/Anth/Dam/ResOpsUS/dataset/ResOpsUS_100.nc
ResOpsUS_1000,1960,2020,-93.321703,37.897187,/Volumes/work/Reference/Station/Anth/Dam/ResOpsUS/dataset/ResOpsUS_1000.nc
ResOpsUS_1001,1979,2020,-96.813814,37.840623,/Volumes/work/Reference/Station/Anth/Dam/ResOpsUS/dataset/ResOpsUS_1001.nc
ResOpsUS_1002,2005,2013,-104.601635,37.746554,/Volumes/work/Reference/Station/Anth/Dam/ResOpsUS/dataset/ResOpsUS_1002.nc
ResOpsUS_1003,1979,2020,-95.921996,37.741526,/Volumes/work/Reference/Station/Anth/Dam/ResOpsUS/dataset/ResOpsUS_1003.nc
ResOpsUS_1005,1990,2018,-97.802083,37.723975,/Volumes/work/Reference/Station/Anth/Dam/ResOpsUS/dataset/ResOpsUS_1005.nc
ResOpsUS_1006,1968,2020,-93.76875,37.689583,/Volumes/work/Reference/Station/Anth/Dam/ResOpsUS/dataset/ResOpsUS_1006.nc
ResOpsUS_1007,1979,2020,-96.06875,37.649318,/Volumes/work/Reference/Station/Anth/Dam/ResOpsUS/dataset/ResOpsUS_1007.nc
ResOpsUS_101,1965,2020,-121.690207,43.68125,/Volumes/work/Reference/Station/Anth/Dam/ResOpsUS/dataset/ResOpsUS_101.nc
ResOpsUS_1014,1980,2020,-95.464466,37.2693,/Volumes/work/Reference/Station/Anth/Dam/ResOpsUS/dataset/ResOpsUS_1014.nc
ResOpsUS_1016,1980,2020,-104.552901,37.142426,/Volumes/work/Reference/Station/Anth/Dam/ResOpsUS/dataset/ResOpsUS_1016.nc
ResOpsUS_1017,1936,2020,-90.774448,37.136323,/Volumes/work/Reference/Station/Anth/Dam/ResOpsUS/dataset/ResOpsUS_1017.nc
ResOpsUS_1019,1941,2020,-90.282381,36.931986,/Volumes/work/Reference/Station/Anth/Dam/ResOpsUS/dataset/ResOpsUS_1019.nc
ResOpsUS_102,1965,2020,-121.971611,43.500474,/Volumes/work/Reference/Station/Anth/Dam/ResOpsUS/dataset/ResOpsUS_102.nc
ResOpsUS_1020,1980,2020,-95.972917,36.886385,/Volumes/work/Reference/Station/Anth/Dam/ResOpsUS/dataset/ResOpsUS_1020.nc
ResOpsUS_1021,1979,2020,-98.140473,36.747179,/Volumes/work/Reference/Station/Anth/Dam/ResOpsUS/dataset/ResOpsUS_1021.nc
ResOpsUS_1023,1979,2020,-96.927032,36.702154,/Volumes/work/Reference/Station/Anth/Dam/ResOpsUS/dataset/ResOpsUS_1023.nc
ResOpsUS_1025,1979,1994,-101.136814,36.672917,/Volumes/work/Reference/Station/Anth/Dam/ResOpsUS/dataset/ResOpsUS_1025.nc
ResOpsUS_1026,1940,2020,-93.311648,36.597936,/Volumes/work/Reference/Station/Anth/Dam/ResOpsUS/dataset/ResOpsUS_1026.nc
ResOpsUS_1027,1979,2020,-99.565839,36.550855,/Volumes/work/Reference/Station/Anth/Dam/ResOpsUS/dataset/ResOpsUS_1027.nc
ResOpsUS_1028,1979,2020,-96.161815,36.530647,/Volumes/work/Reference/Station/Anth/Dam/ResOpsUS/dataset/ResOpsUS_1028.nc
ResOpsUS_1029,1980,2020,-95.039609,36.470297,/Volumes/work/Reference/Station/Anth/Dam/ResOpsUS/dataset/ResOpsUS_1029.nc
