ID,SYEAR,EYEAR,LON,LAT,DIR
AR-SLu,2003,2019,-66.4598,-33.4648,/Volumes/work/Reference/Station/Water/Evapotranspiration/Xu_et_al2025/dataset/AR-SLu_2003_2019.nc
AR-Vir,2003,2019,-56.1886,-28.2395,/Volumes/work/Reference/Station/Water/Evapotranspiration/Xu_et_al2025/dataset/AR-Vir_2003_2019.nc
AT-Neu,2003,2019,11.3175,47.11667,/Volumes/work/Reference/Station/Water/Evapotranspiration/Xu_et_al2025/dataset/AT-Neu_2003_2019.nc
AU-ASM,2003,2019,133.249,-22.283,/Volumes/work/Reference/Station/Water/Evapotranspiration/Xu_et_al2025/dataset/AU-ASM_2003_2019.nc
AU-Ade,2003,2019,131.1178,-13.0769,/Volumes/work/Reference/Station/Water/Evapotranspiration/Xu_et_al2025/dataset/AU-Ade_2003_2019.nc
AU-Cpr,2003,2019,140.5891,-34.0021,/Volumes/work/Reference/Station/Water/Evapotranspiration/Xu_et_al2025/dataset/AU-Cpr_2003_2019.nc
AU-Cum,2003,2019,150.72362,-33.61518,/Volumes/work/Reference/Station/Water/Evapotranspiration/Xu_et_al2025/dataset/AU-Cum_2003_2019.nc
AU-DaP,2003,2019,131.3181,-14.0633,/Volumes/work/Reference/Station/Water/Evapotranspiration/Xu_et_al2025/dataset/AU-DaP_2003_2019.nc
AU-DaS,2003,2019,131.3881,-14.1593,/Volumes/work/Reference/Station/Water/Evapotranspiration/Xu_et_al2025/dataset/AU-DaS_2003_2019.nc
AU-Dry,2003,2019,132.3706,-15.2588,/Volumes/work/Reference/Station/Water/Evapotranspiration/Xu_et_al2025/dataset/AU-Dry_2003_2019.nc
AU-Emr,2003,2019,148.4746,-23.8587,/Volumes/work/Reference/Station/Water/Evapotranspiration/Xu_et_al2025/dataset/AU-Emr_2003_2019.nc
AU-GWW,2003,2019,120.6541,-30.1913,/Volumes/work/Reference/Station/Water/Evapotranspiration/Xu_et_al2025/dataset/AU-GWW_2003_2019.nc
AU-Gin,2003,2019,115.7138,-31.3764,/Volumes/work/Reference/Station/Water/Evapotranspiration/Xu_et_al2025/dataset/AU-Gin_2003_2019.nc
AU-How,2003,2019,131.1523,-12.4943,/Volumes/work/Reference/Station/Water/Evapotranspiration/Xu_et_al2025/dataset/AU-How_2003_2019.nc
AU-RDF,2003,2019,132.4776,-14.5636,/Volumes/work/Reference/Station/Water/Evapotranspiration/Xu_et_al2025/dataset/AU-RDF_2003_2019.nc
AU-Rig,2003,2019,145.5759,-36.6499,/Volumes/work/Reference/Station/Water/Evapotranspiration/Xu_et_al2025/dataset/AU-Rig_2003_2019.nc
AU-Stp,2003,2019,133.3502,-17.1507,/Volumes/work/Reference/Station/Water/Evapotranspiration/Xu_et_al2025/dataset/AU-Stp_2003_2019.nc
AU-TTE,2003,2019,133.64,-22.287,/Volumes/work/Reference/Station/Water/Evapotranspiration/Xu_et_al2025/dataset/AU-TTE_2003_2019.nc
AU-Tum,2003,2019,148.1517,-35.6566,/Volumes/work/Reference/Station/Water/Evapotranspiration/Xu_et_al2025/dataset/AU-Tum_2003_2019.nc
AU-Wac,2003,2019,145.1878,-37.4259,/Volumes/work/Reference/Station/Water/Evapotranspiration/Xu_et_al2025/dataset/AU-Wac_2003_2019.nc
AU-Whr,2003,2019,145.0294,-36.6732,/Volumes/work/Reference/Station/Water/Evapotranspiration/Xu_et_al2025/dataset/AU-Whr_2003_2019.nc
AU-Wom,2003,2019,144.0944,-37.4222,/Volumes/work/Reference/Station/Water/Evapotranspiration/Xu_et_al2025/dataset/AU-Wom_2003_2019.nc
AU-Ync,2003,2019,146.2907,-34.9893,/Volumes/work/Reference/Station/Water/Evapotranspiration/Xu_et_al2025/dataset/AU-Ync_2003_2019.nc
BE-Bra,2003,2019,4.51984,51.30761,/Volumes/work/Reference/Station/Water/Evapotranspiration/Xu_et_al2025/dataset/BE-Bra_2003_2019.nc
BE-Dor,2003,2019,4.968011,50.311928,/Volumes/work/Reference/Station/Water/Evapotranspiration/Xu_et_al2025/dataset/BE-Dor_2003_2019.nc
